,pair,port_A,port_B,time,sync_index,id,x_pos,y_pos,z_pos,x_A_raw,y_A_raw,x_B_raw,y_B_raw,x_A_undistorted,y_A_undistorted,x_B_undistorted,y_B_undistorted
0,"(0, 2)",0,2,462.01030337500003,22,2,0.18699058890342712,0.18820743262767792,0.8125307559967041,641.7720947265625,425.12188720703125,785.8570556640625,291.1017150878906,638.9531860351562,421.6182861328125,779.3009033203125,290.07623291015625
1,"(0, 2)",0,2,462.01030337500003,22,5,0.13645245134830475,0.18814311921596527,0.8212220668792725,608.2578125,423.61700439453125,759.6234130859375,290.64263916015625,606.56396484375,420.77398681640625,754.48291015625,289.791748046875
2,"(0, 2)",0,2,462.01030337500003,22,8,0.086593858897686,0.18857194483280182,0.8277819156646729,576.19873046875,422.4881591796875,734.294921875,290.92047119140625,575.2855834960938,420.1039733886719,730.4053344726562,290.21392822265625
3,"(0, 2)",0,2,462.01030337500003,22,9,0.039756983518600464,0.2767234742641449,0.8906241059303284,545.4296875,466.37408447265625,688.5308837890625,337.327392578125,544.867431640625,461.8553466796875,686.13134765625,336.0735778808594
4,"(0, 2)",0,2,462.01030337500003,22,10,0.03564810752868652,0.2343735545873642,0.8640198707580566,543.564208984375,445.357177734375,696.3765258789062,315.61785888671875,543.1387329101562,442.0954284667969,693.90380859375,314.712158203125
5,"(0, 2)",0,2,462.01030337500003,22,11,0.0322255864739418,0.1900956630706787,0.8339061737060547,542.1410522460938,422.65765380859375,706.4412841796875,291.5860290527344,541.832275390625,420.5042724609375,703.751220703125,291.0247802734375
6,"(0, 2)",0,2,462.182685375,23,2,0.19080279767513275,0.16789250075817108,0.8278328776359558,640.5662841796875,405.67169189453125,781.5779418945312,282.71417236328125,638.1535034179688,403.04754638671875,775.3063354492188,281.93682861328125
7,"(0, 2)",0,2,462.182685375,23,4,0.14270555973052979,0.2159675508737564,0.8574756979942322,607.7547607421875,432.3677062988281,747.5791625976562,307.3629150390625,605.942626953125,429.1162109375,742.93408203125,306.1999206542969
8,"(0, 2)",0,2,462.182685375,23,5,0.13900339603424072,0.1687362641096115,0.8369061946868896,607.057373046875,405.48724365234375,754.8767700195312,282.2744445800781,605.65625,403.41290283203125,750.02587890625,281.6437683105469
9,"(0, 2)",0,2,462.182685375,23,6,0.10018116980791092,0.2639157176017761,0.8943039774894714,579.78857421875,455.45672607421875,714.5494384765625,331.3990173339844,578.4400024414062,451.33062744140625,711.203369140625,329.9911804199219
10,"(0, 2)",0,2,462.182685375,23,7,0.09113269299268723,0.2182023674249649,0.8654834032058716,575.744140625,431.3932189941406,721.9364624023438,309.29302978515625,574.7517700195312,428.60589599609375,718.4802856445312,308.29644775390625
11,"(0, 2)",0,2,462.182685375,23,8,0.0895841047167778,0.17066216468811035,0.8433205485343933,575.9898681640625,405.5513000488281,730.1484375,283.2858581542969,575.2421875,403.84033203125,726.489990234375,282.7525634765625
12,"(0, 2)",0,2,462.182685375,23,9,0.044854216277599335,0.26629525423049927,0.9006209373474121,547.5308837890625,456.0609436035156,687.8734130859375,332.7096252441406,546.9696655273438,452.17138671875,685.5458374023438,331.55816650390625
13,"(0, 2)",0,2,462.182685375,23,10,0.04049055650830269,0.22044271230697632,0.8760430812835693,545.4574584960938,432.4170227050781,694.805908203125,309.28131103515625,545.0523681640625,429.80694580078125,692.4415893554688,308.5000915527344
14,"(0, 2)",0,2,462.182685375,23,11,0.033986810594797134,0.17283020913600922,0.8478683829307556,541.878662109375,406.1768798828125,702.8120727539062,284.4958801269531,541.6331787109375,404.6656188964844,700.2979125976562,284.06646728515625
15,"(0, 1)",0,1,462.358655675,24,2,0.19531677663326263,0.14613831043243408,0.8355328440666199,642.386962890625,394.43389892578125,962.7789916992188,503.3013610839844,640.105712890625,392.20147705078125,962.960205078125,501.81591796875
16,"(0, 1)",0,1,462.358655675,24,5,0.1429426223039627,0.1490502953529358,0.8424808979034424,608.4441528320312,394.9210205078125,897.8220825195312,510.16796875,607.1517333984375,393.1981201171875,896.8636474609375,508.5597229003906
17,"(0, 2)",0,2,462.3573037,24,0,0.2030521035194397,0.24139000475406647,0.8755976557731628,642.8162841796875,447.3276062011719,764.995849609375,318.1304016113281,639.51171875,442.6263732910156,759.3604736328125,316.5376281738281
18,"(0, 2)",0,2,462.3573037,24,1,0.198897123336792,0.19280709326267242,0.8540893793106079,642.8504638671875,421.05230712890625,772.4443359375,292.9781799316406,640.0691528320312,417.72021484375,766.6104736328125,291.98907470703125
19,"(0, 2)",0,2,462.3573037,24,2,0.19362592697143555,0.1455169916152954,0.8313737511634827,642.386962890625,394.43389892578125,780.447998046875,267.59075927734375,640.105712890625,392.20147705078125,774.3032836914062,267.2055358886719
20,"(0, 2)",0,2,462.3573037,24,5,0.14123941957950592,0.14840327203273773,0.8411590456962585,608.4441528320312,394.9210205078125,753.45361328125,268.72222900390625,607.1517333984375,393.1981201171875,748.7280883789062,268.39715576171875
