,pair,port_A,port_B,time,sync_index,id,x_pos,y_pos,z_pos,x_A_raw,y_A_raw,x_B_raw,y_B_raw,x_A_undistorted,y_A_undistorted,x_B_undistorted,y_B_undistorted
0,"(0, 2)",0,2,462.01030337500003,22,2,0.1916513442993164,0.18798375129699707,0.829819917678833,641.7720947265625,425.12188720703125,785.8570556640625,291.1017150878906,638.9531860351562,421.6182861328125,779.3009033203125,290.07623291015625
1,"(0, 2)",0,2,462.01030337500003,22,5,0.13973373174667358,0.1880275309085846,0.8359306454658508,608.2578125,423.61700439453125,759.6234130859375,290.64263916015625,606.56396484375,420.77398681640625,754.48291015625,289.791748046875
2,"(0, 2)",0,2,462.01030337500003,22,8,0.08884952962398529,0.1885894238948822,0.840043306350708,576.19873046875,422.4881591796875,734.294921875,290.92047119140625,575.2855834960938,420.1039733886719,730.4053344726562,290.21392822265625
3,"(0, 2)",0,2,462.01030337500003,22,9,0.041531533002853394,0.27648594975471497,0.9012157917022705,545.4296875,466.37408447265625,688.5308837890625,337.327392578125,544.867431640625,461.8553466796875,686.13134765625,336.0735778808594
4,"(0, 2)",0,2,462.01030337500003,22,10,0.03726121783256531,0.2343350052833557,0.8741671442985535,543.564208984375,445.357177734375,696.3765258789062,315.61785888671875,543.1387329101562,442.0954284667969,693.90380859375,314.712158203125
5,"(0, 2)",0,2,462.01030337500003,22,11,0.033695343881845474,0.19029083847999573,0.8436260223388672,542.1410522460938,422.65765380859375,706.4412841796875,291.5860290527344,541.832275390625,420.5042724609375,703.751220703125,291.0247802734375
6,"(0, 2)",0,2,462.182685375,23,2,0.1956249326467514,0.16735975444316864,0.8460400700569153,640.5662841796875,405.67169189453125,781.5779418945312,282.71417236328125,638.1535034179688,403.04754638671875,775.3063354492188,281.93682861328125
7,"(0, 2)",0,2,462.182685375,23,4,0.1461188793182373,0.21563763916492462,0.8730505108833313,607.7547607421875,432.3677062988281,747.5791625976562,307.3629150390625,605.942626953125,429.1162109375,742.93408203125,306.1999206542969
8,"(0, 2)",0,2,462.182685375,23,5,0.1423375904560089,0.1683809906244278,0.852408766746521,607.057373046875,405.48724365234375,754.8767700195312,282.2744445800781,605.65625,403.41290283203125,750.02587890625,281.6437683105469
9,"(0, 2)",0,2,462.182685375,23,6,0.10275768488645554,0.2635594606399536,0.9080390334129333,579.78857421875,455.45672607421875,714.5494384765625,331.3990173339844,578.4400024414062,451.33062744140625,711.203369140625,329.9911804199219
10,"(0, 2)",0,2,462.182685375,23,7,0.0934949666261673,0.21795399487018585,0.8785563707351685,575.744140625,431.3932189941406,721.9364624023438,309.29302978515625,574.7517700195312,428.60589599609375,718.4802856445312,308.29644775390625
11,"(0, 2)",0,2,462.182685375,23,8,0.09184467792510986,0.17048949003219604,0.8563347458839417,575.9898681640625,405.5513000488281,730.1484375,283.2858581542969,575.2421875,403.84033203125,726.489990234375,282.7525634765625
12,"(0, 2)",0,2,462.182685375,23,9,0.046633441001176834,0.2660120129585266,0.9118353724479675,547.5308837890625,456.0609436035156,687.8734130859375,332.7096252441406,546.9696655273438,452.17138671875,685.5458374023438,331.55816650390625
13,"(0, 2)",0,2,462.182685375,23,10,0.042087260633707047,0.22032292187213898,0.8868799805641174,545.4574584960938,432.4170227050781,694.805908203125,309.28131103515625,545.0523681640625,429.80694580078125,692.4415893554688,308.5000915527344
14,"(0, 2)",0,2,462.182685375,23,11,0.035390857607126236,0.17289000749588013,0.8581920266151428,541.878662109375,406.1768798828125,702.8120727539062,284.4958801269531,541.6331787109375,404.6656188964844,700.2979125976562,284.06646728515625
15,"(0, 1)",0,1,462.358655675,24,2,0.19799108803272247,0.14541196823120117,0.8422293066978455,642.386962890625,394.43389892578125,962.7789916992188,503.3013610839844,640.105712890625,392.20147705078125,962.960205078125,501.81591796875
16,"(0, 1)",0,1,462.358655675,24,5,0.1448119580745697,0.14841866493225098,0.8489506244659424,608.4441528320312,394.9210205078125,897.8220825195312,510.16796875,607.1517333984375,393.1981201171875,896.8636474609375,508.5597229003906
17,"(0, 2)",0,2,462.3573037,24,0,0.20801883935928345,0.24098528921604156,0.894562840461731,642.8162841796875,447.3276062011719,764.995849609375,318.1304016113281,639.51171875,442.6263732910156,759.3604736328125,316.5376281738281
18,"(0, 2)",0,2,462.3573037,24,1,0.20383115112781525,0.1922888606786728,0.8729748129844666,642.8504638671875,421.05230712890625,772.4443359375,292.9781799316406,640.0691528320312,417.72021484375,766.6104736328125,291.98907470703125
19,"(0, 2)",0,2,462.3573037,24,2,0.1985190212726593,0.1448540985584259,0.850100040435791,642.386962890625,394.43389892578125,780.447998046875,267.59075927734375,640.105712890625,392.20147705078125,774.3032836914062,267.2055358886719
20,"(0, 2)",0,2,462.3573037,24,5,0.14458395540714264,0.14796479046344757,0.857128918170929,608.4441528320312,394.9210205078125,753.45361328125,268.72222900390625,607.1517333984375,393.1981201171875,748.7280883789062,268.39715576171875
21,"(0, 2)",0,2,462.3573037,24,8,0.09531395137310028,0.15102867782115936,0.8632202744483948,578.1323852539062,395.2763671875,728.5894775390625,270.24200439453125,577.4420776367188,393.8880310058594,725.0503540039062,269.95941162109375
22,"(0, 2)",0,2,462.3573037,24,9,0.05079948902130127,0.2488061487674713,0.9102195501327515,550.4312133789062,448.3260192871094,689.8192749023438,321.5724182128906,549.847412109375,444.8663635253906,687.5311279296875,320.61590576171875
23,"(0, 2)",0,2,462.3573037,24,10,0.046374935656785965,0.2026069462299347,0.8892689347267151,548.3392944335938,423.480712890625,695.5376586914062,297.62030029296875,547.9265747070312,421.264404296875,693.226318359375,297.02490234375
24,"(0, 2)",0,2,462.3573037,24,11,0.03901899605989456,0.15441900491714478,0.8644855618476868,544.4998779296875,396.8083801269531,701.6947631835938,271.6233215332031,544.25634765625,395.593994140625,699.2679443359375,271.3911437988281
25,"(1, 2)",1,2,462.359193625,24,2,0.20419320464134216,0.14175546169281006,0.8545296788215637,962.7789916992188,503.3013610839844,780.447998046875,267.59075927734375,962.960205078125,501.81591796875,774.3032836914062,267.2055358886719
26,"(1, 2)",1,2,462.359193625,24,5,0.1504480391740799,0.14479120075702667,0.8617004752159119,897.8220825195312,510.16796875,753.45361328125,268.72222900390625,896.8636474609375,508.5597229003906,748.7280883789062,268.39715576171875
27,"(0, 1)",0,1,462.53204005,25,2,0.1984502226114273,0.13046914339065552,0.8323701620101929,644.3768310546875,386.23016357421875,964.6026611328125,481.8455505371094,642.1630859375,384.243408203125,964.73388671875,480.38629150390625
28,"(0, 1)",0,1,462.53204005,25,5,0.14631634950637817,0.13271474838256836,0.8392441272735596,611.3372192382812,386.7074279785156,900.1309814453125,487.68902587890625,610.0829467773438,385.2024230957031,899.2421875,486.2130126953125
29,"(0, 1)",0,1,462.53204005,25,8,0.09481087327003479,0.13464418053627014,0.8476353883743286,579.96484375,387.2658996582031,834.4823608398438,493.4124450683594,579.3170776367188,386.0959167480469,833.69482421875,492.18548583984375
30,"(0, 1)",0,1,462.53204005,25,11,0.04175103083252907,0.13796718418598175,0.8504481911659241,548.1448364257812,389.0829772949219,769.4178466796875,498.5289001464844,547.8917236328125,388.0765686035156,768.9224243164062,497.59588623046875
31,"(0, 2)",0,2,462.530939775,25,2,0.20223233103752136,0.13158686459064484,0.8515735268592834,644.3768310546875,386.23016357421875,781.5274658203125,260.24652099609375,642.1630859375,384.243408203125,775.3452758789062,260.0426330566406
32,"(0, 2)",0,2,462.530939775,25,4,0.15332189202308655,0.181855708360672,0.8746328949928284,612.3209228515625,414.37518310546875,749.6552734375,286.5818786621094,610.6528930664062,411.8726806640625,745.0460815429688,285.8816223144531
33,"(0, 2)",0,2,462.530939775,25,5,0.14901329576969147,0.13294748961925507,0.8565353155136108,611.3372192382812,386.7074279785156,755.618896484375,259.6882629394531,610.0829467773438,385.2024230957031,750.8057250976562,259.5540466308594
34,"(0, 2)",0,2,462.530939775,25,6,0.10613974928855896,0.2316475361585617,0.899315595626831,582.824951171875,440.6604309082031,718.6652221679688,312.34674072265625,581.5676879882812,437.3291015625,715.326171875,311.3143005371094
35,"(0, 2)",0,2,462.530939775,25,7,0.10043122619390488,0.1837470829486847,0.8800322413444519,580.3924560546875,413.93682861328125,723.889892578125,287.5179443359375,579.4813232421875,411.86614990234375,720.49169921875,286.93524169921875
36,"(0, 2)",0,2,462.530939775,25,8,0.09757977724075317,0.13555634021759033,0.8590556383132935,579.96484375,387.2658996582031,731.19921875,260.7599182128906,579.3170776367188,386.0959167480469,727.5623779296875,260.6457214355469
37,"(0, 2)",0,2,462.530939775,25,9,0.053936585783958435,0.23383626341819763,0.9064099788665771,552.44482421875,440.5924377441406,692.5115966796875,313.1954650878906,551.8638305664062,437.5373840332031,690.199462890625,312.3650207519531
38,"(0, 2)",0,2,462.530939775,25,10,0.049070797860622406,0.1871267706155777,0.8848644495010376,550.20654296875,415.54022216796875,698.2969970703125,288.5465087890625,549.803955078125,413.6438903808594,695.9339599609375,288.0760192871094
39,"(0, 2)",0,2,462.530939775,25,11,0.044678766280412674,0.13975471258163452,0.8642079830169678,548.1448364257812,389.0829772949219,704.3516845703125,262.3919372558594,547.8917236328125,388.0765686035156,701.8417358398438,262.2894287109375
40,"(1, 2)",1,2,462.531548725,25,2,0.20790426433086395,0.12470531463623047,0.8522680997848511,964.6026611328125,481.8455505371094,781.5274658203125,260.24652099609375,964.73388671875,480.38629150390625,775.3452758789062,260.0426330566406
41,"(1, 2)",1,2,462.531548725,25,5,0.15491455793380737,0.12643007934093475,0.8596847653388977,900.1309814453125,487.68902587890625,755.618896484375,259.6882629394531,899.2421875,486.2130126953125,750.8057250976562,259.5540466308594
42,"(1, 2)",1,2,462.531548725,25,8,0.09810452163219452,0.1314706802368164,0.8578675389289856,834.4823608398438,493.4124450683594,731.19921875,260.7599182128906,833.69482421875,492.18548583984375,727.5623779296875,260.6457214355469
43,"(1, 2)",1,2,462.531548725,25,11,0.04411638528108597,0.13499240577220917,0.8605359196662903,769.4178466796875,498.5289001464844,704.3516845703125,262.3919372558594,768.9224243164062,497.59588623046875,701.8417358398438,262.2894287109375
44,"(0, 1)",0,1,462.706252875,26,2,0.2036362737417221,0.11757968366146088,0.8369162082672119,646.5443725585938,377.51971435546875,965.1734619140625,468.9385986328125,644.3944702148438,375.7684631347656,965.2802124023438,467.49847412109375
45,"(0, 1)",0,1,462.706252875,26,5,0.15110552310943604,0.11895497888326645,0.8479161858558655,612.4921875,376.9075012207031,898.9285278320312,475.48162841796875,611.3341064453125,375.65948486328125,898.0780639648438,474.0809631347656
46,"(0, 1)",0,1,462.706252875,26,8,0.09976661950349808,0.11931098252534866,0.859229326248169,581.485595703125,376.4413146972656,832.8716430664062,480.5152893066406,580.9087524414062,375.5330505371094,832.16064453125,479.3875732421875
47,"(0, 2)",0,2,462.7046717,26,2,0.20572948455810547,0.11812137067317963,0.8496183156967163,646.5443725585938,377.51971435546875,784.2152099609375,253.4000701904297,644.3944702148438,375.7684631347656,777.900634765625,253.3627166748047
48,"(0, 2)",0,2,462.7046717,26,3,0.16067197918891907,0.2133406698703766,0.8995386362075806,614.5650634765625,431.09893798828125,742.4517822265625,301.868896484375,612.5696411132812,427.80047607421875,738.1013793945312,300.87322998046875
49,"(0, 2)",0,2,462.7046717,26,4,0.15502488613128662,0.16883842647075653,0.8768134713172913,612.7588500976562,405.33349609375,749.8800048828125,280.255126953125,611.2125854492188,403.1826477050781,745.290771484375,279.6929016113281
50,"(0, 2)",0,2,462.7046717,26,5,0.1515740603208542,0.11822673678398132,0.8574562668800354,612.4921875,376.9075012207031,756.738037109375,252.21624755859375,611.3341064453125,375.65948486328125,751.8782958984375,252.2429962158203
51,"(0, 2)",0,2,462.7046717,26,7,0.10210493952035904,0.168221578001976,0.8830360174179077,580.9219970703125,403.6151123046875,723.8092041015625,279.53680419921875,580.1046752929688,401.924560546875,720.4511108398438,279.10137939453125
